day,hour,value
1,0,331
1,1,350
1,2,329
1,3,290
1,4,264
1,5,255
1,6,228
1,7,197
1,8,178
1,9,118
1,10,86
1,11,62
1,12,76
1,13,137
1,14,249
1,15,443
1,16,679
1,17,838
1,18,753
1,19,732
1,20,686
1,21,688
1,22,679
1,23,649
2,0,642
2,1,645
2,2,562
2,3,490
2,4,441
2,5,388
2,6,344
2,7,269
2,8,174
2,9,118
2,10,91
2,11,65
2,12,75
2,13,121
2,14,241
2,15,436
2,16,691
2,17,851
2,18,737
2,19,752
2,20,678
2,21,763
2,22,684
2,23,684
3,0,660
3,1,631
3,2,558
3,3,490
3,4,442
3,5,380
3,6,345
3,7,262
3,8,210
3,9,136
3,10,93
3,11,73
3,12,73
3,13,127
3,14,270
3,15,508
3,16,809
3,17,993
3,18,861
3,19,892
3,20,803
3,21,884
3,22,807
3,23,782
4,0,785
4,1,740
4,2,617
4,3,548
4,4,512
4,5,457
4,6,415
4,7,317
4,8,227
4,9,149
4,10,99
4,11,73
4,12,84
4,13,122
4,14,275
4,15,526
4,16,814
4,17,1007
4,18,886
4,19,894
4,20,841
4,21,897
4,22,807
4,23,760
5,0,760
5,1,735
5,2,607
5,3,546
5,4,506
5,5,479
5,6,408
5,7,320
5,8,219
5,9,134
5,10,95
5,11,70
5,12,74
5,13,120
5,14,239
5,15,486
5,16,756
5,17,918
5,18,836
5,19,845
5,20,779
5,21,811
5,22,757
5,23,739
6,0,706
6,1,637
6,2,506
6,3,498
6,4,470
6,5,432
6,6,398
6,7,357
6,8,299
6,9,202
6,10,144
6,11,104
6,12,112
6,13,174
6,14,250
6,15,315
6,16,441
6,17,521
6,18,570
6,19,640
6,20,554
6,21,546
6,22,523
6,23,496
7,0,471
7,1,511
7,2,462
7,3,380
7,4,346
7,5,341
7,6,325
7,7,301
7,8,256
7,9,177
7,10,130
7,11,93
7,12,111
7,13,154
7,14,185
7,15,229
7,16,319
7,17,404
7,18,429
7,19,497
7,20,442
7,21,416
7,22,393
7,23,374
