day,hour,value
1,0,374
1,1,417
1,2,387
1,3,326
1,4,297
1,5,289
1,6,251
1,7,202
1,8,165
1,9,108
1,10,71
1,11,57
1,12,69
1,13,128
1,14,251
1,15,471
1,16,769
1,17,870
1,18,763
1,19,764
1,20,716
1,21,774
1,22,720
1,23,703
2,0,687
2,1,692
2,2,622
2,3,533
2,4,456
2,5,410
2,6,351
2,7,260
2,8,183
2,9,117
2,10,83
2,11,59
2,12,67
2,13,117
2,14,252
2,15,485
2,16,806
2,17,929
2,18,808
2,19,819
2,20,758
2,21,864
2,22,767
2,23,756
3,0,755
3,1,741
3,2,653
3,3,562
3,4,474
3,5,431
3,6,373
3,7,272
3,8,204
3,9,127
3,10,85
3,11,65
3,12,71
3,13,120
3,14,255
3,15,512
3,16,858
3,17,990
3,18,872
3,19,906
3,20,821
3,21,914
3,22,842
3,23,804
4,0,795
4,1,780
4,2,669
4,3,580
4,4,510
4,5,464
4,6,410
4,7,303
4,8,218
4,9,136
4,10,89
4,11,66
4,12,75
4,13,121
4,14,258
4,15,526
4,16,863
4,17,1014
4,18,882
4,19,896
4,20,845
4,21,917
4,22,820
4,23,801
5,0,797
5,1,782
5,2,664
5,3,584
5,4,510
5,5,474
5,6,405
5,7,303
5,8,221
5,9,136
5,10,91
5,11,65
5,12,74
5,13,121
5,14,241
5,15,494
5,16,832
5,17,961
5,18,872
5,19,874
5,20,824
5,21,851
5,22,802
5,23,777
6,0,764
6,1,726
6,2,595
6,3,556
6,4,507
6,5,482
6,6,438
6,7,367
6,8,290
6,9,191
6,10,125
6,11,92
6,12,100
6,13,164
6,14,244
6,15,328
6,16,469
6,17,554
6,18,575
6,19,635
6,20,572
6,21,562
6,22,532
6,23,514
7,0,502
7,1,540
7,2,497
7,3,421
7,4,370
7,5,387
7,6,356
7,7,304
7,8,261
7,9,173
7,10,118
7,11,90
7,12,93
7,13,135
7,14,178
7,15,231
7,16,329
7,17,416
7,18,444
7,19,516
7,20,461
7,21,443
7,22,418
7,23,400
